County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
"
BLADEN",11/06/2018,P45,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,60.0,0.0,0.0,0.0,60.0,Y
"
BLADEN",11/06/2018,P202,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,210.0,0.0,0.0,0.0,210.0,Y
"
BLADEN",11/06/2018,P60,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,289.0,0.0,0.0,0.0,289.0,Y
"
BLADEN",11/06/2018,P35,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,89.0,0.0,0.0,0.0,89.0,Y
"
BLADEN",11/06/2018,P15,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,224.0,0.0,0.0,0.0,224.0,Y
"
BLADEN",11/06/2018,P201,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,104.0,0.0,0.0,0.0,104.0,Y
"
BLADEN",11/06/2018,PROVISIONAL,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,0.0,0.0,0.0,5.0,5.0,N
"
BLADEN",11/06/2018,ONE STOP LIBRARY,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,0.0,1906.0,0.0,0.0,1906.0,N
"
BLADEN",11/06/2018,P40,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,98.0,0.0,0.0,0.0,98.0,Y
"
BLADEN",11/06/2018,P10,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,103.0,0.0,0.0,0.0,103.0,Y
"
BLADEN",11/06/2018,P80,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,108.0,0.0,0.0,0.0,108.0,Y
"
BLADEN",11/06/2018,ABSENTEE,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,0.0,0.0,258.0,0.0,258.0,N
"
BLADEN",11/06/2018,P25,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,108.0,0.0,0.0,0.0,108.0,Y
"
BLADEN",11/06/2018,P501,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,226.0,0.0,0.0,0.0,226.0,Y
"
BLADEN",11/06/2018,P70,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,68.0,0.0,0.0,0.0,68.0,Y
"
BLADEN",11/06/2018,ABSENTEE,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,0.0,0.0,6.0,0.0,6.0,N
"
BLADEN",11/06/2018,P10,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,4.0,0.0,0.0,0.0,4.0,Y
"
BLADEN",11/06/2018,P501,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,6.0,0.0,0.0,0.0,6.0,Y
"
BLADEN",11/06/2018,P70,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,2.0,0.0,0.0,0.0,2.0,Y
"
BLADEN",11/06/2018,P25,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,3.0,0.0,0.0,0.0,3.0,Y
"
BLADEN",11/06/2018,PROVISIONAL,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,0.0,0.0,0.0,0.0,0.0,N
"
BLADEN",11/06/2018,ONE STOP LIBRARY,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,0.0,53.0,0.0,0.0,53.0,N
"
BLADEN",11/06/2018,P60,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,7.0,0.0,0.0,0.0,7.0,Y
"
BLADEN",11/06/2018,P15,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,14.0,0.0,0.0,0.0,14.0,Y
"
BLADEN",11/06/2018,P202,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,9.0,0.0,0.0,0.0,9.0,Y
"
BLADEN",11/06/2018,P80,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,9.0,0.0,0.0,0.0,9.0,Y
"
BLADEN",11/06/2018,P35,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,0.0,0.0,0.0,0.0,0.0,Y
"
BLADEN",11/06/2018,P40,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,5.0,0.0,0.0,0.0,5.0,Y
"
BLADEN",11/06/2018,P45,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,2.0,0.0,0.0,0.0,2.0,Y
"
BLADEN",11/06/2018,P201,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,9.0,0.0,0.0,0.0,9.0,Y
"
BLADEN",11/06/2018,ABSENTEE,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,0.0,0.0,420.0,0.0,420.0,N
"
BLADEN",11/06/2018,P501,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,172.0,0.0,0.0,0.0,172.0,Y
"
BLADEN",11/06/2018,P70,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,70.0,0.0,0.0,0.0,70.0,Y
"
BLADEN",11/06/2018,P25,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,104.0,0.0,0.0,0.0,104.0,Y
"
BLADEN",11/06/2018,P80,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,187.0,0.0,0.0,0.0,187.0,Y
"
BLADEN",11/06/2018,PROVISIONAL,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,0.0,0.0,0.0,3.0,3.0,N
"
BLADEN",11/06/2018,ONE STOP LIBRARY,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,0.0,2471.0,0.0,0.0,2471.0,N
"
BLADEN",11/06/2018,P202,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,345.0,0.0,0.0,0.0,345.0,Y
"
BLADEN",11/06/2018,P15,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,532.0,0.0,0.0,0.0,532.0,Y
"
BLADEN",11/06/2018,P35,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,68.0,0.0,0.0,0.0,68.0,Y
"
BLADEN",11/06/2018,P45,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,120.0,0.0,0.0,0.0,120.0,Y
"
BLADEN",11/06/2018,P40,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,229.0,0.0,0.0,0.0,229.0,Y
"
BLADEN",11/06/2018,P201,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,347.0,0.0,0.0,0.0,347.0,Y
"
BLADEN",11/06/2018,P60,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,214.0,0.0,0.0,0.0,214.0,Y
"
BLADEN",11/06/2018,P10,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,131.0,0.0,0.0,0.0,131.0,Y
"
ANSON",11/06/2018,POLK,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,130.0,62.0,1.0,5.0,198.0,Y
"
ANSON",11/06/2018,W2,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,178.0,329.0,11.0,2.0,520.0,Y
"
ANSON",11/06/2018,GULL,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,131.0,194.0,10.0,1.0,336.0,Y
"
ANSON",11/06/2018,LILE,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,335.0,416.0,25.0,4.0,780.0,Y
"
ANSON",11/06/2018,W1,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,267.0,473.0,22.0,2.0,764.0,Y
"
ANSON",11/06/2018,BURN,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,138.0,67.0,1.0,0.0,206.0,Y
"
ANSON",11/06/2018,PEAC,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,132.0,48.0,5.0,3.0,188.0,Y
"
ANSON",11/06/2018,MM,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,263.0,220.0,7.0,5.0,495.0,Y
"
ANSON",11/06/2018,WS,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,54.0,22.0,0.0,0.0,76.0,Y
"
ANSON",11/06/2018,W3,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,201.0,477.0,32.0,0.0,710.0,Y
"
ANSON",11/06/2018,ANS,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,208.0,97.0,7.0,1.0,313.0,Y
"
ANSON",11/06/2018,LILE,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,11.0,5.0,0.0,0.0,16.0,Y
"
ANSON",11/06/2018,WS,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,1.0,0.0,0.0,0.0,1.0,Y
"
ANSON",11/06/2018,GULL,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,4.0,2.0,0.0,0.0,6.0,Y
"
ANSON",11/06/2018,ANS,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,8.0,5.0,0.0,0.0,13.0,Y
"
ANSON",11/06/2018,PEAC,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,5.0,3.0,0.0,0.0,8.0,Y
"
ANSON",11/06/2018,BURN,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,9.0,4.0,0.0,0.0,13.0,Y
"
ANSON",11/06/2018,W1,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,6.0,7.0,0.0,0.0,13.0,Y
"
ANSON",11/06/2018,W2,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,6.0,6.0,0.0,0.0,12.0,Y
"
ANSON",11/06/2018,POLK,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,3.0,2.0,0.0,0.0,5.0,Y
"
ANSON",11/06/2018,W3,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,11.0,8.0,1.0,0.0,20.0,Y
"
ANSON",11/06/2018,MM,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,5.0,2.0,0.0,0.0,7.0,Y
"
ANSON",11/06/2018,WS,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,76.0,15.0,3.0,0.0,94.0,Y
"
ANSON",11/06/2018,BURN,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,374.0,112.0,6.0,1.0,493.0,Y
"
ANSON",11/06/2018,PEAC,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,381.0,118.0,5.0,1.0,505.0,Y
"
ANSON",11/06/2018,LILE,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,257.0,169.0,5.0,1.0,432.0,Y
"
ANSON",11/06/2018,GULL,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,137.0,49.0,2.0,0.0,188.0,Y
"
ANSON",11/06/2018,ANS,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,184.0,60.0,3.0,1.0,248.0,Y
"
ANSON",11/06/2018,POLK,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,158.0,80.0,3.0,1.0,242.0,Y
"
ANSON",11/06/2018,MM,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,72.0,40.0,0.0,0.0,112.0,Y
"
ANSON",11/06/2018,W3,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,148.0,299.0,4.0,0.0,451.0,Y
"
ANSON",11/06/2018,W1,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,107.0,167.0,6.0,0.0,280.0,Y
"
ANSON",11/06/2018,W2,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,98.0,118.0,4.0,1.0,221.0,Y
"
CUMBERLAND",11/06/2018,G9B-1,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,361.0,0.0,0.0,0.0,361.0,Y
"
CUMBERLAND",11/06/2018,G3B,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,130.0,0.0,0.0,0.0,130.0,Y
"
CUMBERLAND",11/06/2018,CC05,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,44.0,0.0,0.0,0.0,44.0,Y
"
CUMBERLAND",11/06/2018,ABSENTEE 21-45,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,0.0,0.0,40.0,0.0,40.0,N
"
CUMBERLAND",11/06/2018,TRANSFER 21-45,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,0.0,0.0,0.0,0.0,0.0,N
"
CUMBERLAND",11/06/2018,ABSENTEE 1-20,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,0.0,0.0,194.0,0.0,194.0,N
"
CUMBERLAND",11/06/2018,TRANSFER 1-20,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,0.0,0.0,0.0,0.0,0.0,N
"
CUMBERLAND",11/06/2018,CC16,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,12.0,0.0,0.0,0.0,12.0,Y
"
CUMBERLAND",11/06/2018,G3C,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,209.0,0.0,0.0,0.0,209.0,Y
"
CUMBERLAND",11/06/2018,ONE STOP B 21-45,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,0.0,67.0,0.0,0.0,67.0,N
"
CUMBERLAND",11/06/2018,EO61-1,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Mark Harris,REP,1.0,693.0,0.0,0.0,0.0,693.0,Y
"
CUMBERLAND",11/06/2018,G3C,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,148.0,0.0,0.0,0.0,148.0,Y
"
CUMBERLAND",11/06/2018,ONE STOP D 1-20,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,0.0,1887.0,0.0,0.0,1887.0,N
"
CUMBERLAND",11/06/2018,TRANSFER 21-45,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,0.0,0.0,0.0,0.0,0.0,N
"
CUMBERLAND",11/06/2018,ONE STOP B 21-45,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,0.0,242.0,0.0,0.0,242.0,N
"
CUMBERLAND",11/06/2018,CC05,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,368.0,0.0,0.0,0.0,368.0,Y
"
CUMBERLAND",11/06/2018,CC01,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,406.0,0.0,0.0,0.0,406.0,Y
"
CUMBERLAND",11/06/2018,ONE STOP C 21-45,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,0.0,101.0,0.0,0.0,101.0,N
"
CUMBERLAND",11/06/2018,PROVISIONAL 1-20,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,0.0,0.0,0.0,30.0,30.0,N
"
CUMBERLAND",11/06/2018,G9B-1,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,401.0,0.0,0.0,0.0,401.0,Y
"
CUMBERLAND",11/06/2018,ABSENTEE 21-45,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,0.0,0.0,77.0,0.0,77.0,N
"
CUMBERLAND",11/06/2018,G6C,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,271.0,0.0,0.0,0.0,271.0,Y
